Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
0.75,Bellene,23 274₽,23 274₽,Тихое,Красное,Сухое,Франция,Бургундия,Nuits-Saint-Georges 1er Cru AOC,Bellene,AOC/AOP,,Пино нуар,Бочка,13.5%,6,14-16,Sustainable,Biodynamic,2020,Нюи-Сен-Жорж
0.75,,3 590₽,3 590₽,Тихое,Белое,Сухое,Италия,Пьемонт,Langhe DOC,Batasiolo,DOC/DOP,,Шардоне,Стальной чан,14%,6,10-12,,,2022,Ланге
0.75,Dopff & Irion,2 821₽,2 821₽,Тихое,Белое,Сухое,Франция,Эльзас,Alsace AOC,Dopff & Irion,AOC/AOP,,Рислинг,Стальной чан,11.5%,6,10-12,,,,
0.75,Lapis Luna,4 576₽,4 576₽,Тихое,Красное,Сухое,США,Калифорния,North Coast AVA,Lapis Luna,AVA,,Пино нуар,Бочка,,12,16-18,,,2022,Северное побережье
0.75,Domaine de Nerleux,2 034₽,2 542₽,Тихое,Белое,Сухое,Франция,Долина Луары,Saumur AOC,Domaine de Nerleux,AOC/AOP,,Шенен блан,Стальной чан,13.5%,6,10-12,,,,Сомюр
0.75,Olymp Winery,502₽,502₽,Тихое,Белое,Полусладкое,Россия,,,Olymp Winery,,,Шардоне,,10% - 12%,6,10-12,,,,
0.75,Maison Duprat,659₽,824₽,Тихое,Красное,Полусладкое,Франция,,,Maison Duprat,,,Темпранильо,Стальной чан,12%,6,14-16,,,,
0.75,Zimmermann-Graeff & Muller,1 061₽,1 515₽,Тихое,Белое,Полусухое,Германия,Пфальц,,Zimmermann-Graeff & Muller,,,Рислинг,,11%,6,8-10,,,2022,
0.75,Bodegas Muga,2 600₽,2 600₽,Тихое,Белое,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,Muga,ВиураМальвазияГренаш блан,Бочка,13%,6,8-10,,,,Риоха Альта
0.75,Take it to the Grave,2 028₽,2 535₽,Тихое,Красное,Сухое,Австралия,Южная Австралия,South Australia GI,Take it to the Grave,GI,,Пино нуар,Бочка,13.5%,6,14-16,,,,
0.75,,2 342₽,2 342₽,Тихое,Белое,Сухое,Италия,Венето,Veneto IGT,Botter,IGT/IGP,Gran Passione,ГарганегаШардоне,Стальной чан,12.5%,6,10-12,,,2021,
0.75,,100 244₽,100 244₽,Тихое,Красное,Сухое,Франция,Бургундия,Corton Grand Cru AOC,Philippe Pacalet,AOC/AOP,,Пино нуар,Бочка,13.5%,12,14-16,,Natural/raw,2020,Кот де Бон
0.75,Clos Figueras,3 351₽,4 189₽,Тихое,Красное,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,Serras del PrioratClos Figueras,ГарначаКариньянСираКаберне совиньон,Бочка,15%,6,16-18,,,,
0.75,Pago de los Capellanes,6 567₽,8 209₽,Тихое,Красное,Сухое,Испания,Рибера дель Дуэро,Ribera del Duero DO,Pago de los Capellanes,DO,,Темпранильо,Бочка,14% - 15.5%,6,16-18,,,,
0.75,Finca Beltran,1 393₽,1 990₽,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Finca Beltran,,,Вионье,Стальной чан,13.5%,6,8-10,,,2023,
0.75,Shukhrat Khakimov & Viticultores,4 584₽,4 584₽,Тихое,Красное,Сухое,Испания,Валенсия,Valencia DO,Shukhrat Khakimov & Viticultores,DO,,Монастрель,Бочка,14%,6,14-16,,BiodynamicNatural/raw,2019,
0.75,Бурлюк,329₽,411₽,Тихое,Красное,Полусладкое,Россия,Крым,,Бурлюк,,,МолдоваМускат,Стальной чан,10.00% - 12%,6,14-16,,,,
0.75,Apollonio,2 094₽,2 618₽,Тихое,Красное,Сухое,Италия,Апулия,Copertino DOC,Apollonio,DOC/DOP,ApollonioMani del Sud,НегроамароМонтепульчаноМальвазия нера,Бочка,,6,16-18,,,,
0.75,Luis Felipe Edwards,564₽,705₽,Тихое,Белое,Сухое,Чили,Центральная долина,Central Valley DO,Luis Felipe Edwards,DO,,Совиньон блан,Стальной чан,12.5%,6,10-12,,,,
0.75,Olymp Winery,474₽,474₽,,Красное,Сухое,Россия,,,Olymp Winery,,,Каберне совиньон,,10% - 12%,6,14-16,,,,
0.75,Andryus Yutsis,4 550₽,4 550₽,Тихое,Белое,Сухое,Россия,Крым,,Andryus Yutsis,,,Рислинг рейнский,Бочка,11% - 13%,6,8-10,,Organic,2021,Севастополь
0.75,Rudeles,1 809₽,2 261₽,Тихое,Красное,Сухое,Испания,Кастилия и Леон,Ribera del Duero DO,Rudeles,DO,,ГарначаТемпранильо,Стальной чан,,6,16-18,,,,Рибера дель Дуэро
0.75,Vignobles Lassagne,2 630₽,3 287₽,Тихое,Белое,Сухое,Франция,Бордо,Bordeaux AOC,Vignobles Lassagne,AOC/AOP,,Совиньон бланСемильон,Бочка,13%,6,10-12,,,,
0.75,Val de Vid,2 380₽,2 975₽,Тихое,Белое,Сухое,Испания,Руэда,Rueda DO,Val de Vid,DO,,Вердехо,Бочка,13.5%,6,10-12,,,,
0.75,Marchand-Tawse,17 857₽,17 857₽,Тихое,Красное,Сухое,Франция,Бургундия,Nuits-Saint-Georges AOС,Marchand-Tawse,AOC/AOP,,Пино нуар,Бочка,14%,6,14-16,,,2019,Нюи-Сен-Жорж
0.75,Piccini,1 287₽,1 609₽,Тихое,Красное,Полусухое,Италия,Апулия,Puglia IGT,Piccini,IGT/IGP,,НегроамароПримитиво,Цементная емкость,15%,6,16-18,,,,
0.75,,1 681₽,1 681₽,Тихое,Белое,Сухое,Испания,Валенсия,Utiel-Requena DO,Coviñas,DO,,Шардоне,Стальной чан,,6,10-12,,,2022,Утьель-Рекена
1.5,Domaine Charly Nicolle,8 938₽,11 172₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis AOC,Domaine Charly Nicolle,AOC/AOP,,Шардоне,Стальной чан,12.5%,6,8-10,,,,Шабли
0.75,Bolla,1 231₽,1 231₽,Тихое,Белое,Сухое,Италия,Венето,Soave Classico DOC,Bolla,DOC/DOP,Bolla,ГарганегаТреббьяно ди соаве,Стальной чан,12.5%,6,10-12,,,,Соаве
0.75,Bodegas Covila,1 198₽,1 497₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Covila,DOCa,CovilaPagos de Labarca,Темпранильо,Бочка,13.5%,6,16-18,,,,
0.75,Maison Riviere,3 427₽,4 284₽,Десертное,Белое,Сладкое,Франция,Бордо,Sauternes AOC,Maison Riviere,AOC/AOP,Chateau VillefrancheMaison Riviere,СемильонСовиньон блан,Бочка,14%,12,8-10,,,,Сотерн
0.75,Olymp Winery,438₽,626₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,ЗГУ,,Саперави,Стальной чан,10% - 12%,6,16-18,,,2020,Кубань
0.75,Bodegas Muga,2 326₽,2 326₽,Тихое,Розовое,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,Muga,ТемпранильоВиураГарнача,Бочка,13.5%,6,8-10,,,,Риоха Альта
0.75,Conde de Hervias,9 627₽,12 034₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOC,Conde de Hervias,DOC/DOP,Conde de Hervias,ТемпранильоГрасиано,Бочка,14%,6,16-18,,,,
0.75,Chateau La Conseillante,38 707₽,38 707₽,Тихое,Красное,Сухое,Франция,Бордо,Pomerol AOC,Chateau La Conseillante,AOC/AOP,,МерлоКаберне фран,Бочка,,6,16-18,,,2013,Помероль
0.75,Martin Codax,1 894₽,2 367₽,Тихое,Белое,Сухое,Испания,Галисия,Rias Baixas DO,Martin Codax,DO,,Альбариньо,Стальной чан,11.5%,6,10-12,,,,
0.75,,19 900₽,19 900₽,Десертное,Белое,Сладкое,Франция,Бордо,Sauternes AOC,Chateau Lafaurie-Peyraguey,AOC/AOP,,СемильонСовиньон блан,Бочка,13.5%,6,8-10,,,2019,Сотерн
0.75,Wein und Wasser,904₽,1 130₽,Тихое,Белое,Сухое,Россия,Крым,,Wein und Wasser,,,ВионьеМускат,Стальной чан,12.5%,6,8-10,,,,Севастополь
0.75,Giovanni Sallemi,2 592₽,3 240₽,Тихое,Красное,Сухое,Италия,Силиция,Terre Siciliane IGT,Giovanni Sallemi,IGT/IGP,,Неро д'авола,Стальной чан,13%,6,16-18,,Organic,2015,
0.75,Raymond,3 204₽,3 204₽,Тихое,Белое,Сухое,США,Калифорния,California,Raymond,,,Шардоне,Бочка,13%,12,10-12,,,2021,
0.75,Luis Felipe Edwards,1 239₽,1 549₽,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,,Мерло,Бочка,14%,6,16-18,,,,Кольчагуа
0.75,Бурлюк,462₽,577₽,Тихое,Белое,Сухое,Россия,Крым,,Бурлюк,,,АлиготеШардоне,Стальной чан,10.00% - 12%,6,10-12,,,,
0.75,Bourillon Dorleans,4 716₽,5 895₽,Тихое,Белое,Сухое,Франция,Долина Луары,Vouvray AOC,Bourillon Dorleans,AOC/AOP,Bourillon DorleansL'Indigene,Шенен блан,Бочка,14.5%,6,10-12,,,,Вувре
0.75,Belmas Winery,3 282₽,5 967₽,Тихое,Розовое,Сухое,Россия,Крым,,Belmas Winery,,,Каберне совиньон,,13%,6,10-12,,,2021,Севастополь
0.75,,2 073₽,2 073₽,Тихое,Красное,Сухое,Германия,Райнхессен,Rheinhessen QbA,Einig-Zenzen,QbA,,Пино нуар,Стальной чан,13%,6,16-18,,,2022,
0.75,Золотая Балка,506₽,633₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Золотая Балка,ЗГУ,,Шардоне,Стальной чан,12%,6,10-12,,,,
0.75,Olymp Winery,474₽,474₽,Тихое,Красное,Полусладкое,Россия,,,Olymp Winery,,,Мерло,,10% - 12%,6,14-16,,,,
1.5,Stefan Potzinger,11 450₽,11 450₽,Тихое,Белое,Сухое,Австрия,Штирия,Sudsteiermark DAC,Stefan Potzinger,DAC,,Совиньон блан,Стальной чан,14%,3,8-10,Vegan,,2022,
0.75,Ca'Rugate,7 045₽,8 806₽,Тихое,Красное,Сухое,Италия,Венето,Amarone della Valpolicella DOCG,Ca'Rugate,DOCG,Punta 470Ca'Rugate,КорвинаРондинеллаКорвиноне,Бочка,15%,,16-18,,,,Вальполичелла
0.75,Pago de Los Balagueses,3 402₽,4 253₽,Тихое,Красное,Сухое,Испания,Валенсия,Vino de Pago DOP,Pago de Los Balagueses,DOC/DOP,,Сира,Бочка,15%,6,16-18,,Organic,,
0.75,Marchand-Tawse,5 990₽,5 990₽,Тихое,Красное,Сухое,Франция,Бургундия,Coteaux Bourguignons AOС,Marchand-Tawse,AOC/AOP,,Гаме,Бочка,13%,6,14-16,,,2021,
0.75,Domaine Garnier & Fils,10 737₽,10 737₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis 1er Cru AOС,Domaine Garnier & Fils,AOC/AOP,,Шардоне,Бочка,12.5%,6,12-14,,Organic,2018,Шабли
0.75,Alma Valley,657₽,821₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma Valley,Каберне совиньонШираз,Бочка,14%,6,16-18,,,,
0.75,Feudo Arancio,1 523₽,1 904₽,Тихое,Красное,Сухое,Италия,Сицилия,Sicilia DOC,Feudo Arancio,DOC/DOP,,Неро д'аволаКаберне совиньон,Бочка,13.5%,,16-18,,,,
0.75,Domaine de Mouscaillo,6 583₽,6 583₽,Тихое,Красное,Сухое,Франция,Лангедок-Руссийон,Haute Vallee de l'Aude IGP,Domaine de Mouscaillo,IGT/IGP,,Пино нуар,Бочка,13.5%,6,14-16,,Natural/raw,2020,
0.75,Antica Casa Vinicola Scarpa,1 615₽,2 019₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbera d'Asti DOCG,Antica Casa Vinicola Scarpa,DOCG,,Барбера,Стальной чан,13.5%,6,16-18,,,2020,Асти
0.75,Weingut Heninger,1 998₽,1 998₽,Тихое,Розовое,Сухое,Австрия,Нижняя Австрия,Niederosterreich,Weingut Heninger,,,Цвайгельт,Стальной чан,12.5%,6,8-10,,,,
0.75,,32 900₽,32 900₽,Тихое,Красное,Сухое,Франция,Бордо,Pessac-Léognan AOC,Chateau Smith Haut Lafitte,AOC/AOP,,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14%,6,16-18,,,2017,Пессак-Леоньян
0.75,Bodega San Telmo,1 286₽,1 837₽,Тихое,Красное,Сухое,Аргентина,Мендоса,,Bodega San Telmo,,,Мальбек,Бочка,,12,16-18,,,2022,
0.75,Askaneli,1 012₽,1 446₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,,Askaneli,,,СаперавиМускат,Бочка,12.5%,6,16-18,,,2021,
0.75,Winery Despotika,3 900₽,3 900₽,Тихое,Белое,Полусухое,Сербия,Сумадия,,Winery Despotika,,,Рислинг рейнский,Стальной чан,12.5%,6,8-10,,,2020,
0.75,Elias Mora,2 570₽,3 213₽,Тихое,Красное,Сухое,Испания,Кастилия и Леон,Toro DO,Elias Mora,DO,Toro,Темпранильо,Бочка,15%,6,16-18,,,,Торо
0.75,,4 366₽,4 366₽,Тихое,Розовое,Сухое,Франция,Прованс,Cotes de Provence AOС,Domaine Gavoty,AOC/AOP,,ГренашСенсо,Стальной чан,13.5%,6,10-12,,,,Кот де Прованс
0.75,,9 990₽,9 990₽,Тихое,Красное,Сухое,Франция,Бордо,Pessac-Léognan AOC,Chateau de Fieuzal,AOC/AOP,,Cовиньон бланСемильон,Бочка,13%,6,16-18,,,2013,Пессак-Леоньян
0.75,Damilano,2 856₽,3 570₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbera d'Alba DOC,Damilano,DOC/DOP,DamilanoLablu,Барбера,Бочка,,6,16-18,,,,Альба
0.75,,1 687₽,2 109₽,Тихое,Красное,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Ведерниковъ,Цимлянский черный,Бочка,14%,6,16-18,,,2019,
0.75,,7 525₽,7 525₽,Тихое,Красное,Сухое,Австралия,Южная Австралия,Barossa Valley GI,Hentley Farm,GI,,Шираз,Бочка,15.5%,6,14-16,,Organic,2020,Баросса
0.75,Дом Захарьиных,566₽,707₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,,Шардоне,Стальной чан,11.5%,6,10-12,,,,
0.75,Cono Sur,1 121₽,1 401₽,Тихое,Белое,Сухое,Чили,Центральная долина,,Cono Sur,,Cono SurBicicleta,Шардоне,Стальной чан,13%,6,10-12,,,,
0.75,Bodegas del Saz,719₽,899₽,Тихое,Белое,Полусладкое,Испания,Кастилия-Ла-Манча,,Bodegas del Saz,,,Айрен,Стальной чан,10.00% - 11.5%,6,8-10,,,,
0.75,Domaine Roy,11 050₽,11 050₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis 1er Cru AOС,Domaine Roy,AOC/AOP,,Шардоне,Стальной чан,13%,6,10-12,,,2020,Шабли
0.75,Chateau Mukhrani,2 225₽,2 781₽,Тихое,Белое,Сухое,Грузия,Квемо-Картли,,Chateau Mukhrani,,Chateau Mukhrani,Шардоне,Стальной чан,12.5%,6,10-12,,,,
0.75,Chateau Manavi,1 358₽,1 358₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,Киндзмараули ЗГУ,Chateau Manavi,,,Саперави,,11% - 12%,,16-18,,,2022,
0.75,,10 388₽,10 388₽,Тихое,Красное,Сухое,Франция,Бордо,Haut-Médoc AOC,Chateau Sociando-Mallet,AOC/AOP,,Каберне совиньонМерлоКаберне фран,Бочка,13%,12,16-18,,,2012,О-Медок
0.75,,1 686₽,2 108₽,Тихое,Красное,Сухое,Россия,Ростовская область,Долина Дона ЗГУ,Винодельня Ведерниковъ,ЗГУ,Ведерниковъ,Каберне совиньон,Бочка,14.5%,6,16-18,,,,
0.75,,38 249₽,38 249₽,Тихое,Красное,Сухое,Чили,Аконкагуа,Aconcagua Valley DO,Seña,DO,,Каберне совиньонмальбекКарменерКаберне франПти вердо,Бочка,13.5%,6,16-18,Sustainable,Biodynamic,2017,
0.75,Mazzei,2 951₽,3 689₽,Тихое,Красное,Сухое,Италия,Тоскана,Morellino di Scansano DOCG,Mazzei,DOCG,Bronzone,СанджовезеКаберне совиньон,Бочка,13.2%,6,16-18,,,,
0.75,,10 337₽,10 337₽,Тихое,Красное,Полусухое,Италия,Венето,Amarone della Valpolicella DOCG,Cesari,DOCG,Salvalai,КорвинаРондинелла,Бочка,15%,6,16-18,Vegan,,2018,Вальполичелла
0.75,Mazzei,1 999₽,2 499₽,Тихое,Белое,Сухое,Италия,Тоскана,Toscana IGT,Mazzei,IGT/IGP,,Верментино,Стальной чан,12.8%,,8-10,,,,
0.75,Inama,2 190₽,2 737₽,Тихое,Белое,Сухое,Италия,Венето,Soave Classico DOC,Inama,DOC/DOP,Soave,Гарганега,Стальной чан,12%,6,8-10,,,,Соаве
0.75,,6 106₽,6 106₽,Тихое,Белое,Сухое,Германия,Рейнгау,Rheingau QbA,J.B. Becker,QbA,,Рислинг,Бочка,12%,6,6-8,,Organic,2017,
0.75,Askaneli,1 523₽,1 523₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,,Askaneli,,Artwine,СаперавиМускат,Стальной чан,13%,6,16-18,,,2021,
0.75,Alma Valley,609₽,761₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma ValleyAV Cuvee,Каберне совиньонМерлоСаперави,Бочка,,6,16-18,,,,
